cluster_id,n_GO_annotated_proteins,Biological_Process,Cellular_Component,Molecular_Function,Gene_Descriptions
scaffold1_win3-4,5,protein amino acid phosphorylation; protein modification process; regulation of ligase activity,,ATP binding; protein-tyrosine kinase activity; protein kinase activity,"Serine-threonine/tyrosine-protein kinase catalytic domain; Protein kinase, ATP binding site; Protein kinase domain; Ankyrin repeat-containing domain; Zinc finger, CCHC-type; Endonuclease/exonuclease/phosphatase; Tubulin-tyrosine ligase/Tubulin polyglutamylase; Aldose 1-/Glucose-6-phosphate 1-epimerase; Glucose-6-phosphate 1-epimerase; Galactose mutarotase-like domain; Peptidase C26; Peptidase C26, gamma-glutamyl hydrolase; Class I glutamine amidotransferase-like"
scaffold6_win7-10,6,protein amino acid phosphorylation,integral to membrane,protein kinase CK2 activity; ATP binding; protein-tyrosine kinase activity,"FNIP; Mpv17/PMP22; Serine-threonine/tyrosine-protein kinase catalytic domain; Protein kinase, ATP binding site; Protein kinase domain; Heat shock protein 70 family; Heat shock protein 70, conserved site; Heat shock protein 70kD, peptide-binding domain; Prokaryotic membrane lipoprotein lipid attachment site profile.; Zinc finger, CCHC-type"
scaffold9_win2-3,3,protein amino acid phosphorylation,,ATP binding; protein-tyrosine kinase activity; protein kinase activity,"Galactose-binding domain-like; Protein notum homologue; Pectin lyase fold/virulence factor; Leucine-rich repeat; Leucine-rich repeat, typical subtype; Prokaryotic membrane lipoprotein lipid attachment site profile.; Serine-threonine/tyrosine-protein kinase catalytic domain; Protein kinase, ATP binding site; Protein kinase domain; FNIP; Guanylate-binding protein, N-terminal; P-loop containing nucleoside triphosphate hydrolase"
scaffold9_win5,3,,,,"Leucine-rich repeat; Leucine-rich repeat, typical subtype; Leucine-rich repeat; Leucine-rich repeats, bacterial type; Leucine-rich repeat, typical subtype; Leucine-rich repeat; Leucine Rich repeat; Leucine-rich repeat, typical subtype"
scaffold10_win4,0,,,,No InterPro/domain descriptions for proteins in block
scaffold12_win2,0,,,,Nucleotide-diphospho-sugar transferase; Nucleotide-diphospho-sugar transferases; KAP P-loop
scaffold12_win4,0,,,,NADP-dependent oxidoreductase domain
scaffold14_win4,5,cellular metabolic process; RNA processing; Mo-molybdopterin cofactor biosynthetic process,intracellular,coenzyme binding; heat shock protein binding; RNA binding,"Pectin lyase fold/virulence factor; Leucine Rich repeat; Leucine-rich repeat, ribonuclease inhibitor subtype; Parallel beta-helix repeat; Pectin lyase fold/virulence factor; Polymorphic outer membrane protein repeat; NAD-dependent epimerase/dehydratase, N-terminal domain; Pectin lyase fold/virulence factor; DnaJ domain; DnaJ domain, conserved site; IQ motif, EF-hand binding site; Ribosomal protein S1, RNA-binding domain; RNA-binding domain, S1; HAT (Half-A-TPR) repeat; EF-Hand 1, calcium-binding site; EF-hand domain; MoaB/Mog domain; Phosphoadenosine phosphosulphate reductase; Pectin lyase fold/virulence factor; Polymorphic outer membrane protein repeat"
scaffold14_win6,0,,,,Polymorphic outer membrane protein repeat; Pectin lyase fold/virulence factor; Polymorphic outer membrane protein repeat; Parallel beta-helix repeat; Pectin lyase fold/virulence factor; Pectin lyase fold/virulence factor; Parallel beta-helix repeat; Pectin lyase fold/virulence factor; Parallel beta-helix repeat; Pectin lyase fold/virulence factor; Polymorphic outer membrane protein repeat
scaffold15_win2-5,16,cell adhesion; proteolysis; regulation of transcription,membrane; nucleus,zinc ion binding; metalloendopeptidase activity; ATP binding,"Zinc finger, C2HC5-type; Peptidase M8, leishmanolysin; Peptidase M8, leishmanolysin; EGF-like, conserved site; Epidermal growth factor-like domain; Phosphoenolpyruvate phosphomutase; Pyruvate/Phosphoenolpyruvate kinase-like domain; P-type ATPase, A  domain; P-type ATPase, phosphorylation site; CS domain; Tetratricopeptide repeat; HSP20-like chaperone; HAD-like domain; P-type ATPase; Epidermal growth factor-like domain; Peptidase M8, leishmanolysin; EGF-like, conserved site; Epidermal growth factor-like domain; EGF-like, conserved site; EGF-like, conserved site; Epidermal growth factor-like domain; Prokaryotic membrane lipoprotein lipid attachment site profile.; Mitochondrial substrate/solute carrier; Mitochondrial carrier domain; Protein of unknown function DUF106, transmembrane; Initiation factor eIF-4 gamma, MA3; Armadillo-type fold; Fatty acid hydroxylase; BolA protein; RNA polymerase Rpb3/Rpb11 dimerisation domain; DNA-directed RNA polymerase Rpb11, 13-16kDa subunit, conserved site; DNA-directed RNA polymerase, RBP11-like dimerisation domain; LPS-induced tumour necrosis factor alpha factor; Glutathione S-transferase, N-terminal; Glutathione S-transferase, C-terminal; Glutaredoxin; Tudor domain; Concanavalin A-like lectin/glucanase domain"
